,movie,chapter,character,dialog,gender,releaseYear,processed_tokens,processed_text,preprocessed_tokens,preprocessed_text
25,Harry Potter and the Half-Blood Prince,Snape's Visitors,bellatrix lestrange,make the unbreakable vow you see  it's just empty words oh he'll try  he'll give it his best effort  but when it matters most he'll slither back into his hole  bloody coward,female,2009,"['make', 'unbreakable', 'vow', 'see', 'empty', 'word', 'oh', 'try', 'give', 'good', 'effort', 'matter', 'slither', 'back', 'hole', 'bloody', 'coward']",make unbreakable vow see empty word oh try give good effort matter slither back hole bloody coward,"['make', 'unbreakable', 'vow', 'see', 'empty', 'word', 'oh', 'try', 'give', 'good', 'effort', 'matter', 'slither', 'back', 'hole', 'bloody', 'coward']",make unbreakable vow see empty word oh try give good effort matter slither back hole bloody coward
26,Harry Potter and the Half-Blood Prince,Snape's Visitors,severus snape,take out your wand,male,2009,"['take', 'wand']",take wand,"['take', 'wand']",take wand
27,Harry Potter and the Half-Blood Prince,Snape's Visitors,bellatrix lestrange,will you severus snape watch over draco malfoy as he attempts to fulfill the dark lord's wishes,female,2009,"['severus', 'snape', 'watch', 'draco', 'malfoy', 'attempt', 'fulfill', 'dark', 'lord', ""'s"", 'wish']",severus snape watch draco malfoy attempt fulfill dark lord 's wish,"['severus', 'snape', 'watch', 'draco', 'malfoy', 'attempt', 'fulfill', 'dark', 'lord', ""'s"", 'wish']",severus snape watch draco malfoy attempt fulfill dark lord 's wish
28,Harry Potter and the Half-Blood Prince,Snape's Visitors,severus snape,i will,male,2009,['I'],I,['I'],I
29,Harry Potter and the Half-Blood Prince,Snape's Visitors,bellatrix lestrange,and will you to the best of your ability protect him from harm,female,2009,"['good', 'ability', 'protect', 'harm']",good ability protect harm,"['good', 'ability', 'protect', 'harm']",good ability protect harm
30,Harry Potter and the Half-Blood Prince,Snape's Visitors,severus snape,i will,male,2009,['I'],I,['I'],I
31,Harry Potter and the Half-Blood Prince,Snape's Visitors,bellatrix lestrange,and should it prove necessary if it seems draco will fail will you yourself carry out the deed that the dark lord has ordered draco to perform,female,2009,"['prove', 'necessary', 'seem', 'draco', 'fail', 'carry', 'deed', 'dark', 'lord', 'order', 'draco', 'perform']",prove necessary seem draco fail carry deed dark lord order draco perform,"['prove', 'necessary', 'seem', 'draco', 'fail', 'carry', 'deed', 'dark', 'lord', 'order', 'draco', 'perform']",prove necessary seem draco fail carry deed dark lord order draco perform
32,Harry Potter and the Half-Blood Prince,Snape's Visitors,severus snape,i will,male,2009,['I'],I,['I'],I
33,Harry Potter and the Half-Blood Prince,Who's Harry Potter?,waitress,harry potter  who's harry potter,female,2009,"['harry', 'potter', 'harry', 'potter']",harry potter harry potter,"['harry', 'potter', 'harry', 'potter']",harry potter harry potter
34,Harry Potter and the Half-Blood Prince,Who's Harry Potter?,harry potter,oh  um  no one  bit of a tosser,male,2009,"['oh', 'um', 'one', 'bit', 'tosser']",oh um one bit tosser,"['oh', 'um', 'one', 'bit', 'tosser']",oh um one bit tosser
35,Harry Potter and the Half-Blood Prince,Who's Harry Potter?,waitress,funny that paper of yours  couple nights ago i could swear i saw one of the pictures move,female,2009,"['funny', 'paper', 'couple', 'night', 'ago', 'I', 'could', 'swear', 'I', 'see', 'one', 'picture', 'move']",funny paper couple night ago I could swear I see one picture move,"['funny', 'paper', 'couple', 'night', 'ago', 'I', 'could', 'swear', 'I', 'see', 'one', 'picture', 'move']",funny paper couple night ago I could swear I see one picture move
36,Harry Potter and the Half-Blood Prince,Who's Harry Potter?,harry potter,really,male,2009,['really'],really,['really'],really
37,Harry Potter and the Half-Blood Prince,Who's Harry Potter?,waitress,thought i'd gone round the twist,female,2009,"['think', 'I', 'would', 'go', 'round', 'twist']",think I would go round twist,"['think', 'I', 'would', 'go', 'round', 'twist']",think I would go round twist
38,Harry Potter and the Half-Blood Prince,Who's Harry Potter?,harry potter,hey  i was wondering,male,2009,"['hey', 'I', 'wonder']",hey I wonder,"['hey', 'I', 'wonder']",hey I wonder
39,Harry Potter and the Half-Blood Prince,Who's Harry Potter?,waitress,eleven  that's when i get off,female,2009,"['eleven', 'I', 'get']",eleven I get,"['eleven', 'I', 'get']",eleven I get
40,Harry Potter and the Half-Blood Prince,Horace Slughorn,albus dumbledore,i once knew a muggle girl from liverpool with hair like spun silk  no light could resist it,male,2009,"['I', 'know', 'muggle', 'girl', 'liverpool', 'hair', 'like', 'spin', 'silk', 'light', 'could', 'resist']",I know muggle girl liverpool hair like spin silk light could resist,"['I', 'know', 'muggle', 'girl', 'liverpool', 'hair', 'like', 'spin', 'silk', 'light', 'could', 'resist']",I know muggle girl liverpool hair like spin silk light could resist
